Channel,Video Title,Video Description,Video ID,Comment,Comment iD,Replies,Likes
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,A wonderful documentary of thus woman's journey with her adopted people and her great love for them.,Ugxw38UVUHzXC5hGV8Z4AaABAg,5,307
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"I'm glad this came up in my recommended list. I really liked learning about her ,the tribe , and the culture. I'm glad she is doing things to support and inspire the women.  I truly love how they live off the land and have so much skills that in our  world we have long forgotten , i feel she is absolutely right and very wise in what she spoke of. We can certainly learn from their culture.  I wish them all the best , beautiful people. I thought it was so cute seeing the kids playing with the baby cows and goats , I would've loved that as a kid ....heck who wouldnt.",UgyWgX4nNmCCV4bMYOV4AaABAg,0,6
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,Interesting she's very confident and comfortable,UgxSannZG1jRALxr8Ch4AaABAg,0,3
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I wish she had told us how she met her husband! What was their dating and courtship like?...,UgwhfMj3fq70NoVCFTp4AaABAg,1,47
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I was fascinated when she was saying the reasoned why she loves being in my Maasai society.,Ugy4mBgrKLPAYgZQ6Zx4AaABAg,0,46
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"i love this lady for everything she's doing even tho she's just living it really touches my heart that she deeply appreciates a culture she didn't grow up in . she grew a love for the people & it's culture . it's really amazing & beautiful to see ! i pray she continues to live a spectacular life 💕 sending lots of love to her , her family & all the people of this culture & to all culture around the world❗️",UgwCsyYhyPiuHOCJqhx4AaABAg,1,12
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"Love can do wonders
Clearly, she is in love it's a wonder how she left comfort of her life and adjusting to something totally out of her world
Nothing but huge Respect 🙏",UgwjpjBZEkWWLfGgmyJ4AaABAg,0,7
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"Maasai ✌🏽, the most warmly and humble peoples, people sees like our way of life is difficult but its very easy, we love you all,",UgxM-lYCWKFg8hKotN54AaABAg,0,4
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"wooooow  ""If yougave the world to them, the world will still be intact"" they live in tune with nature. Awesome",UgwvbfS0o-iWRohsM7h4AaABAg,0,3
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I wish the interviewer would have asked  Stephanie about leaving the country with her husband/child.  Would she take them to her country for a visit?,UgzbIEEkvPf8mb4KYKF4AaABAg,1,101
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"This was an amazing mind blowing story.  I'm from Africa myself and can't imagine living like this.  Kudos to this women for enjoying her life.  By the way, what do the Massai men do? Are the cows milked for money? Where do they get money from to survive on?  Amazing project of sanitary pads. Can we donate to help?",UgzKhMj3XjW3uklW-RN4AaABAg,0,11
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I think she will be very happy so long as her husband doesn't try to take another bride,UgyfrAXSEH5oqIpWXBZ4AaABAg,0,14
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"I am sending this village, this family, and this woman sooooooo much love and support. Being an African American woman, I see more examples of white people being xenophobic than not. She's not going there trying to flip their life upside down, or playing ""white savior"" just a lady following her heart! gotta love it!",UgwNhXP3IzVpPExgh9R4AaABAg,5,96
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,This is really different. I want to see her journey.,UgywiLd_jJsqnPQwaAR4AaABAg,0,23
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"""Lol you stepped on shit.. "" ""that's not shit it's cow dung.",UgzNylcI8e9KzAvn1u94AaABAg,0,1
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"Well said. Only we the so called ""civilized people"" will do anything to earn money. Actually you dont need money",Ugw9zoEYqpkMJtxr1lZ4AaABAg,0,1
