Channel,Video Title,Video Description,Video ID,Comment,Comment iD,Replies,Likes
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,So beautiful 😍  love from 🇮🇳 india so amazing much respect... Eva thank you so much for showing real things which matters. ❤❤❤,UgxX_70hkgor-5MCYl94AaABAg,0,4
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"""This is my Pakistan "" 
that's  why whole Pakistan loves you.

Edit: thanks for 253 likes..",UgzZpWH9K7_rdnfQ8t94AaABAg,8,859
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Thank you Eva. May Allah bless you❤️May Allah bless and protect Pakistan ❤️🇵🇰,UgwSGnB0h0riZajmI8p4AaABAg,0,3
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I am proud to be a Pakistani indeed❤  , also I love her sweet voice and my heart melted when She said ""THIS IS MY PAKISTAN"" 💕",UgwnQ7mAPEztQ4vBbwR4AaABAg,0,4
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,That's my country a proud Pakistani 🇵🇰 but the emphasis was on the word Imagine 😁,Ugx_3PSaWLs06SbKooJ4AaABAg,0,3
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Love from India, such an amazing county",UgwBNosfo31j49NiTiJ4AaABAg,0,2
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Uf I got goosebumps when she said this my pakistan...Sending my ❤ from India...Dono mulk khush rahe aabad rahe,Ugy4aCVT06YvFVkevs94AaABAg,11,91
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Welcome to the land of hospitality 🇵🇰 ❤️ 🤗 ❤️ 😁 💐,Ugw9JoPg8T9uw4g5v6t4AaABAg,0,3
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Amazing place. love from india, I would like to visit. 🇮🇳 ❤🇵🇰",Ugxygwd5ri4OmuwK4TV4AaABAg,0,2
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Proud moment for all Pakistani people. Thank you for bringing so many smiles in people’s life. To all my brothers out there. Wish we never had all of the trouble we go through . Love from India.,UgyfiDuyxWU44JbMjiV4AaABAg,0,4
